area,c_name,close,high,industry,list_date,low,ma,market,open,peak,rate,trade_date,ts_code,update_date,vol
湖南,湖南天雁,5.07,5.12,汽车配件,19931206,4.92,5.3762,主板,5.09,0,0.47,2016-05-26,600698.SH,2019-02-25,45649.83
湖南,湖南天雁,5.08,5.11,汽车配件,19931206,5.03,5.3460,主板,5.07,0,0.38,2016-05-27,600698.SH,2019-02-25,35174.75
湖南,湖南天雁,5.08,5.14,汽车配件,19931206,5.00,5.3167,主板,5.08,0,0.34,2016-05-30,600698.SH,2019-02-25,32782.74
湖南,湖南天雁,5.27,5.28,汽车配件,19931206,5.08,5.2857,主板,5.10,0,0.11,2016-05-31,600698.SH,2019-02-25,95861.03
湖南,湖南天雁,5.27,5.34,汽车配件,19931206,5.26,5.2553,主板,5.30,0,-0.05,2016-06-01,600698.SH,2019-02-25,67609.14
湖南,湖南天雁,5.32,5.32,汽车配件,19931206,5.23,5.2242,主板,5.24,0,-0.09,2016-06-02,600698.SH,2019-02-25,60450.99
湖南,湖南天雁,5.30,5.35,汽车配件,19931206,5.27,5.2035,主板,5.31,0,-0.14,2016-06-03,600698.SH,2019-02-25,58289.98
湖南,湖南天雁,5.29,5.35,汽车配件,19931206,5.25,5.2007,主板,5.31,0,-0.13,2016-06-06,600698.SH,2019-02-25,68525.10
湖南,湖南天雁,5.31,5.34,汽车配件,19931206,5.22,5.1998,主板,5.28,0,-0.13,2016-06-07,600698.SH,2019-02-25,61234.33
湖南,湖南天雁,5.27,5.31,汽车配件,19931206,5.22,5.1962,主板,5.28,0,-0.10,2016-06-08,600698.SH,2019-02-25,58297.87
湖南,湖南天雁,4.97,5.24,汽车配件,19931206,4.97,5.1865,主板,5.22,0,0.18,2016-06-13,600698.SH,2019-02-25,60769.37
湖南,湖南天雁,5.00,5.04,汽车配件,19931206,4.95,5.1732,主板,4.97,0,0.25,2016-06-14,600698.SH,2019-02-25,38076.24
湖南,湖南天雁,5.14,5.18,汽车配件,19931206,4.92,5.1635,主板,4.92,0,0.12,2016-06-15,600698.SH,2019-02-25,56081.09
湖南,湖南天雁,5.09,5.16,汽车配件,19931206,5.06,5.1547,主板,5.14,0,0.07,2016-06-16,600698.SH,2019-02-25,43956.95
湖南,湖南天雁,5.17,5.18,汽车配件,19931206,5.08,5.1562,主板,5.10,0,0.02,2016-06-17,600698.SH,2019-02-25,47118.59
湖南,湖南天雁,5.16,5.17,汽车配件,19931206,5.07,5.1573,主板,5.17,0,0.03,2016-06-20,600698.SH,2019-02-25,40918.32
湖南,湖南天雁,5.06,5.21,汽车配件,19931206,5.05,5.1575,主板,5.20,0,0.07,2016-06-21,600698.SH,2019-02-25,53996.37
湖南,湖南天雁,5.28,5.35,汽车配件,19931206,5.04,5.1598,主板,5.06,0,-0.09,2016-06-22,600698.SH,2019-02-25,115954.72
湖南,湖南天雁,5.20,5.26,汽车配件,19931206,5.17,5.1647,主板,5.26,0,-0.06,2016-06-23,600698.SH,2019-02-25,56986.40
湖南,湖南天雁,5.22,5.25,汽车配件,19931206,4.98,5.1670,主板,5.20,0,0.02,2016-06-24,600698.SH,2019-02-25,69678.93
湖南,湖南天雁,5.66,5.67,汽车配件,19931206,5.14,5.1897,主板,5.17,0,-0.42,2016-06-27,600698.SH,2019-02-25,212066.24
湖南,湖南天雁,5.65,5.68,汽车配件,19931206,5.49,5.2163,主板,5.55,0,-0.54,2016-06-28,600698.SH,2019-02-25,140832.25
湖南,湖南天雁,5.79,5.81,汽车配件,19931206,5.55,5.2485,主板,5.56,0,-0.65,2016-06-29,600698.SH,2019-02-25,173552.38
湖南,湖南天雁,5.92,5.98,汽车配件,19931206,5.66,5.2807,主板,5.71,0,-0.80,2016-06-30,600698.SH,2019-02-25,192050.36
湖南,湖南天雁,5.74,5.93,汽车配件,19931206,5.73,5.3062,主板,5.89,0,-0.69,2016-07-01,600698.SH,2019-02-25,156881.80
湖南,湖南天雁,5.78,5.86,汽车配件,19931206,5.56,5.3283,主板,5.71,0,-0.56,2016-07-04,600698.SH,2019-02-25,154862.95
湖南,湖南天雁,5.98,6.05,汽车配件,19931206,5.74,5.3592,主板,5.78,0,-0.79,2016-07-05,600698.SH,2019-02-25,224253.81
湖南,湖南天雁,5.87,5.97,汽车配件,19931206,5.83,5.3888,主板,5.97,0,-0.70,2016-07-06,600698.SH,2019-02-25,134990.46
湖南,湖南天雁,5.79,5.87,汽车配件,19931206,5.67,5.4132,主板,5.86,0,-0.51,2016-07-07,600698.SH,2019-02-25,126227.31
湖南,湖南天雁,5.78,5.90,汽车配件,19931206,5.75,5.4403,主板,5.76,0,-0.52,2016-07-08,600698.SH,2019-02-25,104495.38
湖南,湖南天雁,5.70,5.85,汽车配件,19931206,5.65,5.4740,主板,5.81,0,-0.36,2016-07-11,600698.SH,2019-02-25,114198.93
湖南,湖南天雁,5.76,5.77,汽车配件,19931206,5.65,5.5105,主板,5.67,0,-0.30,2016-07-12,600698.SH,2019-02-25,88550.15
湖南,湖南天雁,5.77,5.83,汽车配件,19931206,5.72,5.5452,主板,5.80,0,-0.32,2016-07-13,600698.SH,2019-02-25,99579.44
湖南,湖南天雁,5.88,5.99,汽车配件,19931206,5.74,5.5835,主板,5.75,0,-0.40,2016-07-14,600698.SH,2019-02-25,138299.77
湖南,湖南天雁,5.79,5.93,汽车配件,19931206,5.75,5.6175,主板,5.85,0,-0.29,2016-07-15,600698.SH,2019-02-25,87118.14
湖南,湖南天雁,5.76,5.81,汽车配件,19931206,5.71,5.6488,主板,5.78,0,-0.15,2016-07-18,600698.SH,2019-02-25,85758.47
湖南,湖南天雁,5.85,5.87,汽车配件,19931206,5.71,5.6840,主板,5.74,0,-0.18,2016-07-19,600698.SH,2019-02-25,73715.77
湖南,湖南天雁,5.84,5.88,汽车配件,19931206,5.79,5.7147,主板,5.85,0,-0.17,2016-07-20,600698.SH,2019-02-25,74737.70
湖南,湖南天雁,5.85,5.89,汽车配件,19931206,5.80,5.7465,主板,5.85,0,-0.14,2016-07-21,600698.SH,2019-02-25,72624.94
湖南,湖南天雁,5.87,5.99,汽车配件,19931206,5.82,5.7837,主板,5.85,0,-0.15,2016-07-22,600698.SH,2019-02-25,183960.48
湖南,湖南天雁,5.86,5.91,汽车配件,19931206,5.83,5.8025,主板,5.85,0,-0.09,2016-07-25,600698.SH,2019-02-25,78199.50
湖南,湖南天雁,5.96,5.96,汽车配件,19931206,5.83,5.8180,主板,5.86,0,-0.14,2016-07-26,600698.SH,2019-02-25,96472.66
湖南,湖南天雁,5.57,6.06,汽车配件,19931206,5.53,5.8182,主板,6.00,0,0.14,2016-07-27,600698.SH,2019-02-25,178038.71
湖南,湖南天雁,5.59,5.65,汽车配件,19931206,5.50,5.8045,主板,5.58,0,0.31,2016-07-28,600698.SH,2019-02-25,75112.60
湖南,湖南天雁,5.58,5.66,汽车配件,19931206,5.50,5.7935,主板,5.58,0,0.30,2016-07-29,600698.SH,2019-02-25,50588.20
湖南,湖南天雁,5.36,5.62,汽车配件,19931206,5.28,5.7778,主板,5.57,0,0.50,2016-08-01,600698.SH,2019-02-25,66107.91
湖南,湖南天雁,5.42,5.43,汽车配件,19931206,5.36,5.7518,主板,5.39,0,0.49,2016-08-02,600698.SH,2019-02-25,27787.68
湖南,湖南天雁,5.49,5.53,汽车配件,19931206,5.38,5.7307,主板,5.42,0,0.37,2016-08-03,600698.SH,2019-02-25,42019.54
湖南,湖南天雁,5.52,5.53,汽车配件,19931206,5.45,5.7168,主板,5.49,0,0.30,2016-08-04,600698.SH,2019-02-25,34997.44
湖南,湖南天雁,5.50,5.55,汽车配件,19931206,5.48,5.7018,主板,5.55,0,0.27,2016-08-05,600698.SH,2019-02-25,45285.43
湖南,湖南天雁,5.63,5.64,汽车配件,19931206,5.47,5.6942,主板,5.56,0,0.16,2016-08-08,600698.SH,2019-02-25,44445.26
湖南,湖南天雁,6.19,6.19,汽车配件,19931206,5.80,5.7108,主板,5.80,0,-0.49,2016-08-09,600698.SH,2019-02-25,375781.50
湖南,湖南天雁,6.32,6.50,汽车配件,19931206,6.14,5.7382,主板,6.22,0,-0.81,2016-08-10,600698.SH,2019-02-25,712110.96
湖南,湖南天雁,6.16,6.26,汽车配件,19931206,6.11,5.7535,主板,6.21,0,-0.59,2016-08-11,600698.SH,2019-02-25,293491.28
湖南,湖南天雁,6.14,6.15,汽车配件,19931206,5.98,5.7668,主板,6.06,0,-0.45,2016-08-12,600698.SH,2019-02-25,230212.72
湖南,湖南天雁,6.17,6.21,汽车配件,19931206,5.99,5.7850,主板,6.08,0,-0.47,2016-08-15,600698.SH,2019-02-25,303291.50
湖南,湖南天雁,6.34,6.37,汽车配件,19931206,6.11,5.8082,主板,6.12,0,-0.65,2016-08-16,600698.SH,2019-02-25,356330.32
湖南,湖南天雁,6.21,6.31,汽车配件,19931206,6.16,5.8277,主板,6.27,0,-0.56,2016-08-17,600698.SH,2019-02-25,221460.86
湖南,湖南天雁,6.23,6.33,汽车配件,19931206,6.14,5.8470,主板,6.21,0,-0.54,2016-08-18,600698.SH,2019-02-25,183681.77
湖南,湖南天雁,6.19,6.27,汽车配件,19931206,6.10,5.8617,主板,6.22,0,-0.45,2016-08-19,600698.SH,2019-02-25,152370.90
湖南,湖南天雁,6.37,6.70,汽车配件,19931206,6.16,5.8888,主板,6.16,0,-0.73,2016-08-22,600698.SH,2019-02-25,399655.75
湖南,湖南天雁,6.31,6.39,汽车配件,19931206,6.24,5.9087,主板,6.31,0,-0.56,2016-08-23,600698.SH,2019-02-25,188344.98
湖南,湖南天雁,6.23,6.33,汽车配件,19931206,6.19,5.9352,主板,6.30,0,-0.44,2016-08-24,600698.SH,2019-02-25,132841.62
湖南,湖南天雁,6.38,6.39,汽车配件,19931206,6.03,5.9695,主板,6.20,0,-0.41,2016-08-25,600698.SH,2019-02-25,189505.72
湖南,湖南天雁,6.56,6.66,汽车配件,19931206,6.33,6.0163,主板,6.34,0,-0.70,2016-08-26,600698.SH,2019-02-25,379205.82
湖南,湖南天雁,6.53,6.57,汽车配件,19931206,6.41,6.0705,主板,6.56,0,-0.60,2016-08-29,600698.SH,2019-02-25,169599.79
湖南,湖南天雁,6.63,6.65,汽车配件,19931206,6.44,6.1290,主板,6.50,0,-0.62,2016-08-30,600698.SH,2019-02-25,179899.23
湖南,湖南天雁,6.42,6.65,汽车配件,19931206,6.41,6.1803,主板,6.63,0,-0.44,2016-08-31,600698.SH,2019-02-25,190489.43
湖南,湖南天雁,6.19,6.39,汽车配件,19931206,6.17,6.2178,主板,6.38,0,-0.04,2016-09-01,600698.SH,2019-02-25,264585.62
湖南,湖南天雁,6.18,6.25,汽车配件,19931206,6.13,6.2517,主板,6.17,0,0.09,2016-09-02,600698.SH,2019-02-25,106435.70
湖南,湖南天雁,6.19,6.24,汽车配件,19931206,6.14,6.2822,主板,6.19,0,0.13,2016-09-05,600698.SH,2019-02-25,99893.52
湖南,湖南天雁,6.29,6.32,汽车配件,19931206,6.15,6.2918,主板,6.22,0,0.05,2016-09-06,600698.SH,2019-02-25,122827.94
湖南,湖南天雁,6.23,6.34,汽车配件,19931206,6.21,6.2888,主板,6.34,0,0.04,2016-09-07,600698.SH,2019-02-25,119631.18
湖南,湖南天雁,6.27,6.27,汽车配件,19931206,6.16,6.2917,主板,6.23,0,0.08,2016-09-08,600698.SH,2019-02-25,108462.55
湖南,湖南天雁,6.18,6.31,汽车配件,19931206,6.17,6.2982,主板,6.25,0,0.11,2016-09-09,600698.SH,2019-02-25,114964.01
湖南,湖南天雁,5.86,6.13,汽车配件,19931206,5.85,6.2893,主板,6.07,0,0.48,2016-09-12,600698.SH,2019-02-25,149324.79
湖南,湖南天雁,5.95,5.96,汽车配件,19931206,5.86,6.2718,主板,5.94,0,0.49,2016-09-13,600698.SH,2019-02-25,80461.23
湖南,湖南天雁,5.90,5.95,汽车配件,19931206,5.87,6.2558,主板,5.94,0,0.49,2016-09-14,600698.SH,2019-02-25,60758.20
湖南,湖南天雁,6.01,6.04,汽车配件,19931206,5.88,6.2430,主板,5.89,0,0.37,2016-09-19,600698.SH,2019-02-25,72868.53
湖南,湖南天雁,6.01,6.05,汽车配件,19931206,5.96,6.2340,主板,6.01,0,0.32,2016-09-20,600698.SH,2019-02-25,51442.51
湖南,湖南天雁,6.08,6.09,汽车配件,19931206,5.97,6.2158,主板,6.00,0,0.24,2016-09-21,600698.SH,2019-02-25,71240.78
湖南,湖南天雁,6.07,6.15,汽车配件,19931206,6.06,6.2048,主板,6.09,0,0.16,2016-09-22,600698.SH,2019-02-25,71170.70
湖南,湖南天雁,6.03,6.10,汽车配件,19931206,6.01,6.1947,主板,6.10,0,0.21,2016-09-23,600698.SH,2019-02-25,57013.31
湖南,湖南天雁,5.82,6.00,汽车配件,19931206,5.79,6.1748,主板,5.98,0,0.42,2016-09-26,600698.SH,2019-02-25,90595.57
湖南,湖南天雁,5.85,5.86,汽车配件,19931206,5.75,6.1400,主板,5.85,0,0.45,2016-09-27,600698.SH,2019-02-25,67650.73
湖南,湖南天雁,5.82,5.86,汽车配件,19931206,5.80,6.1062,主板,5.86,0,0.39,2016-09-28,600698.SH,2019-02-25,41339.90
湖南,湖南天雁,5.84,5.87,汽车配件,19931206,5.80,6.0693,主板,5.80,0,0.32,2016-09-29,600698.SH,2019-02-25,37409.30
湖南,湖南天雁,6.03,6.19,汽车配件,19931206,5.82,6.0453,主板,5.84,0,0.04,2016-09-30,600698.SH,2019-02-25,174243.46
湖南,湖南天雁,6.14,6.17,汽车配件,19931206,6.00,6.0380,主板,6.02,0,-0.09,2016-10-10,600698.SH,2019-02-25,121684.18
湖南,湖南天雁,6.19,6.34,汽车配件,19931206,6.09,6.0390,主板,6.11,0,-0.23,2016-10-11,600698.SH,2019-02-25,159857.36
湖南,湖南天雁,6.81,6.81,汽车配件,19931206,6.13,6.0587,主板,6.15,0,-0.73,2016-10-12,600698.SH,2019-02-25,319373.62
湖南,湖南天雁,7.19,7.24,汽车配件,19931206,6.92,6.1018,主板,7.00,0,-1.41,2016-10-13,600698.SH,2019-02-25,1090672.70
湖南,湖南天雁,6.89,7.12,汽车配件,19931206,6.81,6.1358,主板,7.04,0,-1.12,2016-10-14,600698.SH,2019-02-25,528355.36
湖南,湖南天雁,6.68,6.97,汽车配件,19931206,6.67,6.1628,主板,6.84,0,-0.85,2016-10-17,600698.SH,2019-02-25,401002.03
湖南,湖南天雁,6.95,7.03,汽车配件,19931206,6.70,6.1965,主板,6.72,0,-0.97,2016-10-18,600698.SH,2019-02-25,469492.03
湖南,湖南天雁,6.95,6.96,汽车配件,19931206,6.78,6.2440,主板,6.85,0,-0.91,2016-10-19,600698.SH,2019-02-25,317055.07
湖南,湖南天雁,6.84,6.95,汽车配件,19931206,6.82,6.2913,主板,6.92,0,-0.81,2016-10-20,600698.SH,2019-02-25,199309.90
湖南,湖南天雁,6.89,6.93,汽车配件,19931206,6.76,6.3390,主板,6.80,0,-0.73,2016-10-21,600698.SH,2019-02-25,211178.61
湖南,湖南天雁,6.91,6.99,汽车配件,19931206,6.84,6.3858,主板,6.88,0,-0.74,2016-10-24,600698.SH,2019-02-25,244818.69
湖南,湖南天雁,6.80,6.89,汽车配件,19931206,6.76,6.4263,主板,6.87,0,-0.54,2016-10-25,600698.SH,2019-02-25,190514.22
湖南,湖南天雁,6.68,6.80,汽车配件,19931206,6.63,6.4592,主板,6.80,0,-0.34,2016-10-26,600698.SH,2019-02-25,210338.08
湖南,湖南天雁,6.73,6.78,汽车配件,19931206,6.65,6.4905,主板,6.69,0,-0.32,2016-10-27,600698.SH,2019-02-25,125903.10
湖南,湖南天雁,6.56,6.73,汽车配件,19931206,6.54,6.5187,主板,6.73,0,-0.13,2016-10-28,600698.SH,2019-02-25,162066.90
湖南,湖南天雁,6.63,6.65,汽车配件,19931206,6.41,6.5533,主板,6.57,0,-0.01,2016-10-31,600698.SH,2019-02-25,125590.32
湖南,湖南天雁,6.68,6.68,汽车配件,19931206,6.57,6.5945,主板,6.58,0,-0.07,2016-11-01,600698.SH,2019-02-25,114310.20
湖南,湖南天雁,6.63,6.81,汽车配件,19931206,6.62,6.6375,主板,6.68,0,-0.07,2016-11-02,600698.SH,2019-02-25,201466.92
湖南,湖南天雁,6.84,6.99,汽车配件,19931206,6.50,6.6845,主板,6.56,0,-0.13,2016-11-03,600698.SH,2019-02-25,370470.21
湖南,湖南天雁,6.86,7.05,汽车配件,19931206,6.77,6.7285,主板,6.80,0,-0.23,2016-11-04,600698.SH,2019-02-25,270491.88
湖南,湖南天雁,6.83,6.86,汽车配件,19931206,6.61,6.7617,主板,6.82,0,-0.01,2016-11-07,600698.SH,2019-02-25,192855.75
湖南,湖南天雁,6.98,7.17,汽车配件,19931206,6.79,6.8003,主板,6.81,0,-0.25,2016-11-08,600698.SH,2019-02-25,361132.29
湖南,湖南天雁,6.89,7.09,汽车配件,19931206,6.75,6.8167,主板,6.95,0,-0.13,2016-11-09,600698.SH,2019-02-25,221351.53
湖南,湖南天雁,6.95,7.04,汽车配件,19931206,6.79,6.8072,主板,6.94,0,-0.17,2016-11-10,600698.SH,2019-02-25,247348.99
湖南,湖南天雁,6.85,6.94,汽车配件,19931206,6.80,6.8033,主板,6.89,0,-0.08,2016-11-11,600698.SH,2019-02-25,207715.67
湖南,湖南天雁,6.76,6.82,汽车配件,19931206,6.72,6.8030,主板,6.72,0,0.05,2016-11-14,600698.SH,2019-02-25,151226.29
湖南,湖南天雁,6.79,6.85,汽车配件,19931206,6.73,6.7978,主板,6.76,0,0.01,2016-11-15,600698.SH,2019-02-25,124217.08
湖南,湖南天雁,6.77,6.81,汽车配件,19931206,6.74,6.7917,主板,6.80,0,0.03,2016-11-16,600698.SH,2019-02-25,96969.33
湖南,湖南天雁,6.71,6.79,汽车配件,19931206,6.61,6.7833,主板,6.78,0,0.11,2016-11-17,600698.SH,2019-02-25,136359.59
湖南,湖南天雁,6.62,6.70,汽车配件,19931206,6.61,6.7725,主板,6.69,0,0.18,2016-11-18,600698.SH,2019-02-25,98431.65
湖南,湖南天雁,6.69,6.70,汽车配件,19931206,6.62,6.7603,主板,6.63,0,0.13,2016-11-21,600698.SH,2019-02-25,87589.55
湖南,湖南天雁,6.73,6.76,汽车配件,19931206,6.68,6.7557,主板,6.70,0,0.05,2016-11-22,600698.SH,2019-02-25,103402.65
湖南,湖南天雁,6.63,6.75,汽车配件,19931206,6.59,6.7533,主板,6.71,0,0.13,2016-11-23,600698.SH,2019-02-25,124441.42
湖南,湖南天雁,6.57,6.66,汽车配件,19931206,6.54,6.7468,主板,6.62,0,0.22,2016-11-24,600698.SH,2019-02-25,99707.64
湖南,湖南天雁,6.64,6.65,汽车配件,19931206,6.40,6.7445,主板,6.56,0,0.25,2016-11-25,600698.SH,2019-02-25,115451.81
湖南,湖南天雁,6.70,6.77,汽车配件,19931206,6.62,6.7512,主板,6.64,0,0.08,2016-11-28,600698.SH,2019-02-25,136704.73
湖南,湖南天雁,6.84,6.98,汽车配件,19931206,6.65,6.7602,主板,6.66,0,-0.09,2016-11-29,600698.SH,2019-02-25,363936.70
湖南,湖南天雁,6.70,6.81,汽车配件,19931206,6.67,6.7622,主板,6.79,0,0.05,2016-11-30,600698.SH,2019-02-25,151363.78
湖南,湖南天雁,6.71,6.76,汽车配件,19931206,6.67,6.7590,主板,6.68,0,0.06,2016-12-01,600698.SH,2019-02-25,92167.45
湖南,湖南天雁,6.62,6.87,汽车配件,19931206,6.61,6.7493,主板,6.68,0,0.07,2016-12-02,600698.SH,2019-02-25,153423.05
湖南,湖南天雁,6.41,6.57,汽车配件,19931206,6.36,6.7333,主板,6.55,0,0.40,2016-12-05,600698.SH,2019-02-25,153627.60
